,destination,odds,player,probability,date
0,Any French Club,2.0,David De Gea,0.3333333333333333,2019-04-30
1,PSG,2.0,David De Gea,0.3333333333333333,2019-04-30
2,Real Madrid,4.0,David De Gea,0.2,2019-04-30
3,Any Italian Club,8.0,David De Gea,0.1111111111111111,2019-04-30
4,Atletico Madrid,12.0,David De Gea,0.07692307692307693,2019-04-30
5,Any German Club,12.0,David De Gea,0.07692307692307693,2019-04-30
6,Any Chinese Club,14.0,David De Gea,0.06666666666666667,2019-04-30
7,Juventus,14.0,David De Gea,0.06666666666666667,2019-04-30
8,Barcelona,16.0,David De Gea,0.058823529411764705,2019-04-30
0,Real Madrid,5.0,Sadio Mane,0.16666666666666666,2019-04-30
1,PSG,16.0,Sadio Mane,0.058823529411764705,2019-04-30
2,Barcelona,25.0,Sadio Mane,0.038461538461538464,2019-04-30
0,West Ham,4.0,Aaron Mooy,0.2,2019-04-30
1,Any Chinese Club,6.0,Aaron Mooy,0.14285714285714285,2019-04-30
2,Watford,8.0,Aaron Mooy,0.1111111111111111,2019-04-30
3,Newcastle,4.0,Aaron Mooy,0.2,2019-04-30
4,Wolves,9.0,Aaron Mooy,0.1,2019-04-30
5,Any Italian Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-30
6,Any Spanish Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-30
7,Any French Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-30
8,Any German Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-30
9,Crystal Palace,12.0,Aaron Mooy,0.07692307692307693,2019-04-30
10,Leicester,11.0,Aaron Mooy,0.08333333333333333,2019-04-30
11,Any Scottish Club,16.0,Aaron Mooy,0.058823529411764705,2019-04-30
12,Leeds,14.0,Aaron Mooy,0.06666666666666667,2019-04-30
13,Liverpool,20.0,Aaron Mooy,0.047619047619047616,2019-04-30
0,Chelsea,5.0,Aaron Wan Bissaka,0.16666666666666666,2019-04-30
1,Any French Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-30
2,Any Spanish Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-30
3,Any Italian Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-30
4,Man City,5.0,Aaron Wan Bissaka,0.16666666666666666,2019-04-30
5,Bayern Munich,12.0,Aaron Wan Bissaka,0.07692307692307693,2019-04-30
6,Arsenal,12.0,Aaron Wan Bissaka,0.07692307692307693,2019-04-30
7,Borussia Dortmund,4.0,Aaron Wan Bissaka,0.2,2019-04-30
8,Liverpool,16.0,Aaron Wan Bissaka,0.058823529411764705,2019-04-30
9,Man Utd,0.8333333333333334,Aaron Wan Bissaka,0.5454545454545454,2019-04-30
10,Tottenham,16.0,Aaron Wan Bissaka,0.058823529411764705,2019-04-30
11,Leicester,20.0,Aaron Wan Bissaka,0.047619047619047616,2019-04-30
12,Everton,20.0,Aaron Wan Bissaka,0.047619047619047616,2019-04-30
0,Arsenal,2.0,Adrian Rabiot,0.3333333333333333,2019-04-30
1,Liverpool,6.0,Adrian Rabiot,0.14285714285714285,2019-04-30
2,Chelsea,12.0,Adrian Rabiot,0.07692307692307693,2019-04-30
3,Man Utd,12.0,Adrian Rabiot,0.07692307692307693,2019-04-30
4,Tottenham,12.0,Adrian Rabiot,0.07692307692307693,2019-04-30
5,PSG,12.0,Adrian Rabiot,0.07692307692307693,2019-04-30
6,AC Milan,14.0,Adrian Rabiot,0.06666666666666667,2019-04-30
7,Juventus,14.0,Adrian Rabiot,0.06666666666666667,2019-04-30
8,Bayern Munich,16.0,Adrian Rabiot,0.058823529411764705,2019-04-30
9,Inter Milan,16.0,Adrian Rabiot,0.058823529411764705,2019-04-30
10,Lyon,16.0,Adrian Rabiot,0.058823529411764705,2019-04-30
11,Marseille,16.0,Adrian Rabiot,0.058823529411764705,2019-04-30
0,Everton,2.0,Aleksandar Mitrovic,0.3333333333333333,2019-04-30
1,Tottenham,6.0,Aleksandar Mitrovic,0.14285714285714285,2019-04-30
2,West Ham,6.0,Aleksandar Mitrovic,0.14285714285714285,2019-04-30
3,Any Belgium Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-04-30
4,Any Chinese Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-04-30
5,Any Turkish Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-04-30
6,Crystal Palace,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-30
7,Any French Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-30
8,Any German Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-30
9,Any Italian Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-30
10,Any Spanish Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-30
11,Southampton,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-04-30
12,Watford,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-04-30
13,Brighton,25.0,Aleksandar Mitrovic,0.038461538461538464,2019-04-30
0,Atletico Madrid,1.0,Alex Telles,0.5,2019-04-30
1,Liverpool,4.0,Alex Telles,0.2,2019-04-30
2,Bayern Munich,6.0,Alex Telles,0.14285714285714285,2019-04-30
3,Chelsea,6.0,Alex Telles,0.14285714285714285,2019-04-30
4,Juventus,12.0,Alex Telles,0.07692307692307693,2019-04-30
5,PSG,12.0,Alex Telles,0.07692307692307693,2019-04-30
6,Tottenham,12.0,Alex Telles,0.07692307692307693,2019-04-30
0,Any Italian Club,3.0,Alexis Sanchez,0.25,2019-04-30
1,Any Spanish Club,6.0,Alexis Sanchez,0.14285714285714285,2019-04-30
2,Any Chinese Club,10.0,Alexis Sanchez,0.09090909090909091,2019-04-30
3,Any South American Club,12.0,Alexis Sanchez,0.07692307692307693,2019-04-30
4,Everton,12.0,Alexis Sanchez,0.07692307692307693,2019-04-30
5,Any French Club,16.0,Alexis Sanchez,0.058823529411764705,2019-04-30
6,Any German Club,16.0,Alexis Sanchez,0.058823529411764705,2019-04-30
7,Leicester,20.0,Alexis Sanchez,0.047619047619047616,2019-04-30
8,Any MLS Club,20.0,Alexis Sanchez,0.047619047619047616,2019-04-30
9,Bournemouth,25.0,Alexis Sanchez,0.038461538461538464,2019-04-30
10,Watford,25.0,Alexis Sanchez,0.038461538461538464,2019-04-30
11,Southampton,25.0,Alexis Sanchez,0.038461538461538464,2019-04-30
12,Brighton,25.0,Alexis Sanchez,0.038461538461538464,2019-04-30
13,Newcastle,25.0,Alexis Sanchez,0.038461538461538464,2019-04-30
0,To Leave Rangers,0.6666666666666666,Alfredo Morelos,0.6000000000000001,2019-04-30
1,Any German Club,6.0,Alfredo Morelos,0.14285714285714285,2019-04-30
2,Borussia Dortmund,5.5,Alfredo Morelos,0.15384615384615385,2019-04-30
3,Leicester,6.0,Alfredo Morelos,0.14285714285714285,2019-04-30
4,Any Chinese Club,8.0,Alfredo Morelos,0.1111111111111111,2019-04-30
5,Any French Club,8.0,Alfredo Morelos,0.1111111111111111,2019-04-30
6,Any Chinese Super League side,8.0,Alfredo Morelos,0.1111111111111111,2019-04-30
7,Fenerbahce,8.0,Alfredo Morelos,0.1111111111111111,2019-04-30
8,Marseille,10.0,Alfredo Morelos,0.09090909090909091,2019-04-30
9,Celtic,10.0,Alfredo Morelos,0.09090909090909091,2019-04-30
10,Any Spanish Club,10.0,Alfredo Morelos,0.09090909090909091,2019-04-30
11,Galatasaray,11.0,Alfredo Morelos,0.08333333333333333,2019-04-30
12,Everton,9.0,Alfredo Morelos,0.1,2019-04-30
13,Any Italian Club,12.0,Alfredo Morelos,0.07692307692307693,2019-04-30
14,Lille,11.0,Alfredo Morelos,0.08333333333333333,2019-04-30
15,Monaco,14.0,Alfredo Morelos,0.06666666666666667,2019-04-30
16,Lyon,14.0,Alfredo Morelos,0.06666666666666667,2019-04-30
17,RB Leipzig,14.0,Alfredo Morelos,0.06666666666666667,2019-04-30
18,West Ham,16.0,Alfredo Morelos,0.058823529411764705,2019-04-30
19,Any South American Club,16.0,Alfredo Morelos,0.058823529411764705,2019-04-30
20,Bayer Leverkusen,16.0,Alfredo Morelos,0.058823529411764705,2019-04-30
21,Southampton,20.0,Alfredo Morelos,0.047619047619047616,2019-04-30
22,Brighton,25.0,Alfredo Morelos,0.038461538461538464,2019-04-30
23,Bournemouth,25.0,Alfredo Morelos,0.038461538461538464,2019-04-30
24,Crystal Palace,10.0,Alfredo Morelos,0.09090909090909091,2019-04-30
25,Newcastle,14.0,Alfredo Morelos,0.06666666666666667,2019-04-30
0,Barcelona,0.9090909090909091,Antoine Griezmann,0.5238095238095238,2019-04-30
1,PSG,12.0,Antoine Griezmann,0.07692307692307693,2019-04-30
2,Bayern Munich,4.0,Antoine Griezmann,0.2,2019-04-30
3,Chelsea,12.0,Antoine Griezmann,0.07692307692307693,2019-04-30
4,Juventus,12.0,Antoine Griezmann,0.07692307692307693,2019-04-30
5,Man Utd,4.0,Antoine Griezmann,0.2,2019-04-30
6,Man City,16.0,Antoine Griezmann,0.058823529411764705,2019-04-30
7,Real Madrid,20.0,Antoine Griezmann,0.047619047619047616,2019-04-30
8,Inter Milan,10.0,Antoine Griezmann,0.09090909090909091,2019-04-30
0,Wolves,4.0,Asmir Begovic,0.2,2019-04-30
1,Stoke,6.0,Asmir Begovic,0.14285714285714285,2019-04-30
2,Any French Club,8.0,Asmir Begovic,0.1111111111111111,2019-04-30
3,Any German Club,8.0,Asmir Begovic,0.1111111111111111,2019-04-30
4,Any Italian Club,8.0,Asmir Begovic,0.1111111111111111,2019-04-30
5,Any Spanish Club,8.0,Asmir Begovic,0.1111111111111111,2019-04-30
6,Man City,12.0,Asmir Begovic,0.07692307692307693,2019-04-30
7,West Ham,16.0,Asmir Begovic,0.058823529411764705,2019-04-30
8,Newcastle,16.0,Asmir Begovic,0.058823529411764705,2019-04-30
9,Crystal Palace,16.0,Asmir Begovic,0.058823529411764705,2019-04-30
10,Watford,16.0,Asmir Begovic,0.058823529411764705,2019-04-30
0,Bayern Munich,3.0,Callum Hudson Odoi,0.25,2019-04-30
1,Borussia Dortmund,12.0,Callum Hudson Odoi,0.07692307692307693,2019-04-30
2,Any Italian Club,12.0,Callum Hudson Odoi,0.07692307692307693,2019-04-30
3,Any French Club,12.0,Callum Hudson Odoi,0.07692307692307693,2019-04-30
4,Any Spanish Club,12.0,Callum Hudson Odoi,0.07692307692307693,2019-04-30
5,Liverpool,10.0,Callum Hudson Odoi,0.09090909090909091,2019-04-30
6,Man Utd,14.0,Callum Hudson Odoi,0.06666666666666667,2019-04-30
7,Man City,16.0,Callum Hudson Odoi,0.058823529411764705,2019-04-30
8,Juventus,20.0,Callum Hudson Odoi,0.047619047619047616,2019-04-30
0,Arsenal,4.0,Cengiz Under,0.2,2019-04-30
1,Chelsea,4.0,Cengiz Under,0.2,2019-04-30
2,Tottenham,12.0,Cengiz Under,0.07692307692307693,2019-04-30
3,Liverpool,12.0,Cengiz Under,0.07692307692307693,2019-04-30
4,Man City,12.0,Cengiz Under,0.07692307692307693,2019-04-30
5,Man Utd,12.0,Cengiz Under,0.07692307692307693,2019-04-30
6,Any Chinese Club,14.0,Cengiz Under,0.06666666666666667,2019-04-30
7,Bayern Munich,14.0,Cengiz Under,0.06666666666666667,2019-04-30
8,Juventus,14.0,Cengiz Under,0.06666666666666667,2019-04-30
9,Barcelona,16.0,Cengiz Under,0.058823529411764705,2019-04-30
10,PSG,16.0,Cengiz Under,0.058823529411764705,2019-04-30
11,Real Madrid,16.0,Cengiz Under,0.058823529411764705,2019-04-30
12,Atletico Madrid,20.0,Cengiz Under,0.047619047619047616,2019-04-30
0,Southampton,1.25,Che Adams,0.4444444444444444,2019-04-30
1,Crystal Palace,4.0,Che Adams,0.2,2019-04-30
2,Burnley,5.0,Che Adams,0.16666666666666666,2019-04-30
3,Wolves,8.0,Che Adams,0.1111111111111111,2019-04-30
4,Leicester,5.0,Che Adams,0.16666666666666666,2019-04-30
5,West Ham,8.0,Che Adams,0.1111111111111111,2019-04-30
6,Newcastle,10.0,Che Adams,0.09090909090909091,2019-04-30
7,Man Utd,10.0,Che Adams,0.09090909090909091,2019-04-30
8,Arsenal,10.0,Che Adams,0.09090909090909091,2019-04-30
9,Everton,8.0,Che Adams,0.1111111111111111,2019-04-30
10,Watford,12.0,Che Adams,0.07692307692307693,2019-04-30
11,Any Italian Club,16.0,Che Adams,0.058823529411764705,2019-04-30
12,Any Spanish Club,16.0,Che Adams,0.058823529411764705,2019-04-30
13,Any French Club,16.0,Che Adams,0.058823529411764705,2019-04-30
14,Any German Club,16.0,Che Adams,0.058823529411764705,2019-04-30
15,Tottenham,12.0,Che Adams,0.07692307692307693,2019-04-30
16,Chelsea,20.0,Che Adams,0.047619047619047616,2019-04-30
17,Man City,20.0,Che Adams,0.047619047619047616,2019-04-30
18,Liverpool,20.0,Che Adams,0.047619047619047616,2019-04-30
0,Any Spanish Club,2.0,Christian Eriksen,0.3333333333333333,2019-04-30
1,Chelsea,4.0,Christian Eriksen,0.2,2019-04-30
2,Man Utd,4.0,Christian Eriksen,0.2,2019-04-30
3,Any Italian Club,12.0,Christian Eriksen,0.07692307692307693,2019-04-30
4,Liverpool,12.0,Christian Eriksen,0.07692307692307693,2019-04-30
5,Any French Club,12.0,Christian Eriksen,0.07692307692307693,2019-04-30
6,Any German Club,12.0,Christian Eriksen,0.07692307692307693,2019-04-30
7,Man City,12.0,Christian Eriksen,0.07692307692307693,2019-04-30
0,Any English Club,4.0,Cristiano Ronaldo,0.2,2019-04-30
1,Any MLS Club,8.0,Cristiano Ronaldo,0.1111111111111111,2019-04-30
2,Any Chinese Club,8.0,Cristiano Ronaldo,0.1111111111111111,2019-04-30
3,Any French Club,12.0,Cristiano Ronaldo,0.07692307692307693,2019-04-30
4,Any German Club,14.0,Cristiano Ronaldo,0.06666666666666667,2019-04-30
5,Any Spanish Club,14.0,Cristiano Ronaldo,0.06666666666666667,2019-04-30
6,Any South American Club,16.0,Cristiano Ronaldo,0.058823529411764705,2019-04-30
0,Arsenal,3.0,Daniele Rugani,0.25,2019-04-30
1,Chelsea,6.0,Daniele Rugani,0.14285714285714285,2019-04-30
2,AC Milan,8.0,Daniele Rugani,0.1111111111111111,2019-04-30
3,Roma,8.0,Daniele Rugani,0.1111111111111111,2019-04-30
4,Bayern Munich,12.0,Daniele Rugani,0.07692307692307693,2019-04-30
5,Man City,12.0,Daniele Rugani,0.07692307692307693,2019-04-30
6,Man Utd,12.0,Daniele Rugani,0.07692307692307693,2019-04-30
7,PSG,12.0,Daniele Rugani,0.07692307692307693,2019-04-30
0,Any Italian Club,2.0,Danny Drinkwater,0.3333333333333333,2019-04-30
1,West Ham,10.0,Danny Drinkwater,0.09090909090909091,2019-04-30
2,Any Spanish Club,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
3,Crystal Palace,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
4,Everton,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
5,Wolves,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
6,Leicester,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
7,Any French Club,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
8,Any German Club,12.0,Danny Drinkwater,0.07692307692307693,2019-04-30
9,Newcastle,14.0,Danny Drinkwater,0.06666666666666667,2019-04-30
10,Bournemouth,16.0,Danny Drinkwater,0.058823529411764705,2019-04-30
11,Brighton,16.0,Danny Drinkwater,0.058823529411764705,2019-04-30
12,Watford,16.0,Danny Drinkwater,0.058823529411764705,2019-04-30
13,Southampton,20.0,Danny Drinkwater,0.047619047619047616,2019-04-30
0,Arsenal,4.0,David Alaba,0.2,2019-04-30
1,Man Utd,4.0,David Alaba,0.2,2019-04-30
2,Any French Club,6.0,David Alaba,0.14285714285714285,2019-04-30
3,Any Italian Club,6.0,David Alaba,0.14285714285714285,2019-04-30
4,Any Spanish Club,6.0,David Alaba,0.14285714285714285,2019-04-30
5,Chelsea,8.0,David Alaba,0.1111111111111111,2019-04-30
6,Tottenham,8.0,David Alaba,0.1111111111111111,2019-04-30
0,Tottenham,2.0,David Brooks,0.3333333333333333,2019-04-30
1,Man Utd,4.0,David Brooks,0.2,2019-04-30
2,Any Spanish Club,12.0,David Brooks,0.07692307692307693,2019-04-30
3,Any Italian Club,12.0,David Brooks,0.07692307692307693,2019-04-30
4,Arsenal,12.0,David Brooks,0.07692307692307693,2019-04-30
5,Man City,12.0,David Brooks,0.07692307692307693,2019-04-30
6,Any French Club,12.0,David Brooks,0.07692307692307693,2019-04-30
7,Chelsea,12.0,David Brooks,0.07692307692307693,2019-04-30
8,Any German Club,12.0,David Brooks,0.07692307692307693,2019-04-30
0,PSG,4.0,David Neres,0.2,2019-04-30
1,Liverpool,4.0,David Neres,0.2,2019-04-30
2,Borussia Dortmund,4.0,David Neres,0.2,2019-04-30
3,Everton,8.0,David Neres,0.1111111111111111,2019-04-30
4,Arsenal,8.0,David Neres,0.1111111111111111,2019-04-30
5,Any Spanish Club,12.0,David Neres,0.07692307692307693,2019-04-30
6,Any Italian Club,12.0,David Neres,0.07692307692307693,2019-04-30
7,Chelsea,9.0,David Neres,0.1,2019-04-30
8,Tottenham,12.0,David Neres,0.07692307692307693,2019-04-30
9,West Ham,16.0,David Neres,0.058823529411764705,2019-04-30
0,Bayern Munich,2.0,Dayot Upamecano,0.3333333333333333,2019-04-30
1,Man Utd,4.0,Dayot Upamecano,0.2,2019-04-30
2,PSG,8.0,Dayot Upamecano,0.1111111111111111,2019-04-30
3,Tottenham,10.0,Dayot Upamecano,0.09090909090909091,2019-04-30
4,Chelsea,10.0,Dayot Upamecano,0.09090909090909091,2019-04-30
5,Man City,10.0,Dayot Upamecano,0.09090909090909091,2019-04-30
6,Juventus,12.0,Dayot Upamecano,0.07692307692307693,2019-04-30
7,Arsenal,16.0,Dayot Upamecano,0.058823529411764705,2019-04-30
8,AC Milan,16.0,Dayot Upamecano,0.058823529411764705,2019-04-30
0,Tottenham,2.0,Diogo Jota,0.3333333333333333,2019-04-30
1,Chelsea,4.0,Diogo Jota,0.2,2019-04-30
2,Any Chinese Club,8.0,Diogo Jota,0.1111111111111111,2019-04-30
3,Any French Club,8.0,Diogo Jota,0.1111111111111111,2019-04-30
4,Any German Club,8.0,Diogo Jota,0.1111111111111111,2019-04-30
5,Any Italian Club,8.0,Diogo Jota,0.1111111111111111,2019-04-30
6,Any Spanish Club,8.0,Diogo Jota,0.1111111111111111,2019-04-30
0,PSG,4.0,Donny Van De Beek,0.2,2019-04-30
1,Arsenal,5.0,Donny Van De Beek,0.16666666666666666,2019-04-30
2,Tottenham,6.0,Donny Van De Beek,0.14285714285714285,2019-04-30
3,Chelsea,10.0,Donny Van De Beek,0.09090909090909091,2019-04-30
4,Man Utd,12.0,Donny Van De Beek,0.07692307692307693,2019-04-30
5,Barcelona,16.0,Donny Van De Beek,0.058823529411764705,2019-04-30
