,destination,odds,player,probability,date
0,Real Madrid,5.0,Sadio Mane,0.16666666666666666,2019-04-23
1,PSG,16.0,Sadio Mane,0.058823529411764705,2019-04-23
2,Barcelona,25.0,Sadio Mane,0.038461538461538464,2019-04-23
0,West Ham,3.0,Aaron Mooy,0.25,2019-04-23
1,Any Scottish Club,8.0,Aaron Mooy,0.1111111111111111,2019-04-23
2,Watford,8.0,Aaron Mooy,0.1111111111111111,2019-04-23
3,Wolves,8.0,Aaron Mooy,0.1111111111111111,2019-04-23
4,Newcastle,3.0,Aaron Mooy,0.25,2019-04-23
5,Any Italian Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-23
6,Any Spanish Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-23
7,Any French Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-23
8,Any German Club,12.0,Aaron Mooy,0.07692307692307693,2019-04-23
9,Crystal Palace,12.0,Aaron Mooy,0.07692307692307693,2019-04-23
10,Leicester,11.0,Aaron Mooy,0.08333333333333333,2019-04-23
11,Leeds,14.0,Aaron Mooy,0.06666666666666667,2019-04-23
12,Liverpool,20.0,Aaron Mooy,0.047619047619047616,2019-04-23
0,Any French Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-23
1,Any Spanish Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-23
2,Any Italian Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-23
3,Bayern Munich,12.0,Aaron Wan Bissaka,0.07692307692307693,2019-04-23
4,Arsenal,8.0,Aaron Wan Bissaka,0.1111111111111111,2019-04-23
5,Chelsea,14.0,Aaron Wan Bissaka,0.06666666666666667,2019-04-23
6,Man City,5.0,Aaron Wan Bissaka,0.16666666666666666,2019-04-23
7,Borussia Dortmund,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-04-23
8,Liverpool,16.0,Aaron Wan Bissaka,0.058823529411764705,2019-04-23
9,Man Utd,2.0,Aaron Wan Bissaka,0.3333333333333333,2019-04-23
10,Tottenham,16.0,Aaron Wan Bissaka,0.058823529411764705,2019-04-23
11,Leicester,20.0,Aaron Wan Bissaka,0.047619047619047616,2019-04-23
12,Everton,20.0,Aaron Wan Bissaka,0.047619047619047616,2019-04-23
0,Arsenal,2.0,Adrian Rabiot,0.3333333333333333,2019-04-23
1,Liverpool,6.0,Adrian Rabiot,0.14285714285714285,2019-04-23
2,Chelsea,12.0,Adrian Rabiot,0.07692307692307693,2019-04-23
3,Man Utd,12.0,Adrian Rabiot,0.07692307692307693,2019-04-23
4,Tottenham,12.0,Adrian Rabiot,0.07692307692307693,2019-04-23
5,PSG,12.0,Adrian Rabiot,0.07692307692307693,2019-04-23
6,AC Milan,14.0,Adrian Rabiot,0.06666666666666667,2019-04-23
7,Juventus,14.0,Adrian Rabiot,0.06666666666666667,2019-04-23
8,Bayern Munich,16.0,Adrian Rabiot,0.058823529411764705,2019-04-23
9,Inter Milan,16.0,Adrian Rabiot,0.058823529411764705,2019-04-23
10,Lyon,16.0,Adrian Rabiot,0.058823529411764705,2019-04-23
11,Marseille,16.0,Adrian Rabiot,0.058823529411764705,2019-04-23
0,Everton,2.0,Aleksandar Mitrovic,0.3333333333333333,2019-04-23
1,Tottenham,6.0,Aleksandar Mitrovic,0.14285714285714285,2019-04-23
2,West Ham,6.0,Aleksandar Mitrovic,0.14285714285714285,2019-04-23
3,Any Belgium Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-04-23
4,Any Chinese Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-04-23
5,Any Turkish Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-04-23
6,Crystal Palace,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-23
7,Any French Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-23
8,Any German Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-23
9,Any Italian Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-23
10,Any Spanish Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-04-23
11,Southampton,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-04-23
12,Watford,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-04-23
13,Brighton,25.0,Aleksandar Mitrovic,0.038461538461538464,2019-04-23
0,Atletico Madrid,1.0,Alex Telles,0.5,2019-04-23
1,Liverpool,4.0,Alex Telles,0.2,2019-04-23
2,Bayern Munich,6.0,Alex Telles,0.14285714285714285,2019-04-23
3,Chelsea,6.0,Alex Telles,0.14285714285714285,2019-04-23
4,Juventus,12.0,Alex Telles,0.07692307692307693,2019-04-23
5,PSG,12.0,Alex Telles,0.07692307692307693,2019-04-23
6,Tottenham,12.0,Alex Telles,0.07692307692307693,2019-04-23
0,Any Italian Club,3.0,Alexis Sanchez,0.25,2019-04-23
1,Any Spanish Club,6.0,Alexis Sanchez,0.14285714285714285,2019-04-23
2,Any Chinese Club,10.0,Alexis Sanchez,0.09090909090909091,2019-04-23
3,Any South American Club,12.0,Alexis Sanchez,0.07692307692307693,2019-04-23
4,Everton,12.0,Alexis Sanchez,0.07692307692307693,2019-04-23
5,Any French Club,16.0,Alexis Sanchez,0.058823529411764705,2019-04-23
6,Any German Club,16.0,Alexis Sanchez,0.058823529411764705,2019-04-23
7,Leicester,20.0,Alexis Sanchez,0.047619047619047616,2019-04-23
8,Any MLS Club,20.0,Alexis Sanchez,0.047619047619047616,2019-04-23
9,Bournemouth,25.0,Alexis Sanchez,0.038461538461538464,2019-04-23
10,Watford,25.0,Alexis Sanchez,0.038461538461538464,2019-04-23
