,destination,odds,player,probability,date
0,PSG,1.25,David De Gea,0.4444444444444444,2019-05-04
1,Any French Club,2.0,David De Gea,0.3333333333333333,2019-05-04
2,Real Madrid,4.0,David De Gea,0.2,2019-05-04
3,Any Italian Club,8.0,David De Gea,0.1111111111111111,2019-05-04
4,Juventus,10.0,David De Gea,0.09090909090909091,2019-05-04
5,Any German Club,12.0,David De Gea,0.07692307692307693,2019-05-04
6,Any Chinese Club,14.0,David De Gea,0.06666666666666667,2019-05-04
7,Atletico Madrid,16.0,David De Gea,0.058823529411764705,2019-05-04
8,Barcelona,16.0,David De Gea,0.058823529411764705,2019-05-04
0,Real Madrid,5.0,Sadio Mane,0.16666666666666666,2019-05-04
1,PSG,16.0,Sadio Mane,0.058823529411764705,2019-05-04
2,Barcelona,25.0,Sadio Mane,0.038461538461538464,2019-05-04
0,West Ham,4.0,Aaron Mooy,0.2,2019-05-04
1,Any Chinese Club,6.0,Aaron Mooy,0.14285714285714285,2019-05-04
2,Watford,8.0,Aaron Mooy,0.1111111111111111,2019-05-04
3,Newcastle,4.0,Aaron Mooy,0.2,2019-05-04
4,Wolves,9.0,Aaron Mooy,0.1,2019-05-04
5,Any Italian Club,12.0,Aaron Mooy,0.07692307692307693,2019-05-04
6,Any Spanish Club,12.0,Aaron Mooy,0.07692307692307693,2019-05-04
7,Any French Club,12.0,Aaron Mooy,0.07692307692307693,2019-05-04
8,Any German Club,12.0,Aaron Mooy,0.07692307692307693,2019-05-04
9,Crystal Palace,12.0,Aaron Mooy,0.07692307692307693,2019-05-04
10,Leicester,11.0,Aaron Mooy,0.08333333333333333,2019-05-04
11,Any Scottish Club,16.0,Aaron Mooy,0.058823529411764705,2019-05-04
12,Leeds,14.0,Aaron Mooy,0.06666666666666667,2019-05-04
13,Liverpool,20.0,Aaron Mooy,0.047619047619047616,2019-05-04
0,Chelsea,5.0,Aaron Wan Bissaka,0.16666666666666666,2019-05-04
1,Any French Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-05-04
2,Any Spanish Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-05-04
3,Any Italian Club,10.0,Aaron Wan Bissaka,0.09090909090909091,2019-05-04
4,Man City,5.0,Aaron Wan Bissaka,0.16666666666666666,2019-05-04
5,Bayern Munich,12.0,Aaron Wan Bissaka,0.07692307692307693,2019-05-04
6,Arsenal,12.0,Aaron Wan Bissaka,0.07692307692307693,2019-05-04
7,Borussia Dortmund,4.0,Aaron Wan Bissaka,0.2,2019-05-04
8,Liverpool,16.0,Aaron Wan Bissaka,0.058823529411764705,2019-05-04
9,Man Utd,0.8333333333333334,Aaron Wan Bissaka,0.5454545454545454,2019-05-04
10,Tottenham,16.0,Aaron Wan Bissaka,0.058823529411764705,2019-05-04
11,Leicester,20.0,Aaron Wan Bissaka,0.047619047619047616,2019-05-04
12,Everton,20.0,Aaron Wan Bissaka,0.047619047619047616,2019-05-04
0,Arsenal,2.0,Adrian Rabiot,0.3333333333333333,2019-05-04
1,Liverpool,6.0,Adrian Rabiot,0.14285714285714285,2019-05-04
2,Chelsea,12.0,Adrian Rabiot,0.07692307692307693,2019-05-04
3,Man Utd,12.0,Adrian Rabiot,0.07692307692307693,2019-05-04
4,Tottenham,12.0,Adrian Rabiot,0.07692307692307693,2019-05-04
5,PSG,12.0,Adrian Rabiot,0.07692307692307693,2019-05-04
6,AC Milan,14.0,Adrian Rabiot,0.06666666666666667,2019-05-04
7,Juventus,14.0,Adrian Rabiot,0.06666666666666667,2019-05-04
8,Bayern Munich,16.0,Adrian Rabiot,0.058823529411764705,2019-05-04
9,Inter Milan,16.0,Adrian Rabiot,0.058823529411764705,2019-05-04
10,Lyon,16.0,Adrian Rabiot,0.058823529411764705,2019-05-04
11,Marseille,16.0,Adrian Rabiot,0.058823529411764705,2019-05-04
0,Everton,2.0,Aleksandar Mitrovic,0.3333333333333333,2019-05-04
1,Tottenham,6.0,Aleksandar Mitrovic,0.14285714285714285,2019-05-04
2,West Ham,6.0,Aleksandar Mitrovic,0.14285714285714285,2019-05-04
3,Any Belgium Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-05-04
4,Any Chinese Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-05-04
5,Any Turkish Club,10.0,Aleksandar Mitrovic,0.09090909090909091,2019-05-04
6,Crystal Palace,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-05-04
7,Any French Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-05-04
8,Any German Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-05-04
9,Any Italian Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-05-04
10,Any Spanish Club,12.0,Aleksandar Mitrovic,0.07692307692307693,2019-05-04
11,Southampton,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-05-04
12,Watford,20.0,Aleksandar Mitrovic,0.047619047619047616,2019-05-04
13,Brighton,25.0,Aleksandar Mitrovic,0.038461538461538464,2019-05-04
0,Atletico Madrid,1.0,Alex Telles,0.5,2019-05-04
1,Liverpool,4.0,Alex Telles,0.2,2019-05-04
2,Bayern Munich,6.0,Alex Telles,0.14285714285714285,2019-05-04
3,Chelsea,6.0,Alex Telles,0.14285714285714285,2019-05-04
4,Juventus,12.0,Alex Telles,0.07692307692307693,2019-05-04
5,PSG,12.0,Alex Telles,0.07692307692307693,2019-05-04
6,Tottenham,12.0,Alex Telles,0.07692307692307693,2019-05-04
0,Any Italian Club,3.0,Alexis Sanchez,0.25,2019-05-04
1,Any Spanish Club,6.0,Alexis Sanchez,0.14285714285714285,2019-05-04
2,Any Chinese Club,10.0,Alexis Sanchez,0.09090909090909091,2019-05-04
3,Any South American Club,12.0,Alexis Sanchez,0.07692307692307693,2019-05-04
4,Everton,12.0,Alexis Sanchez,0.07692307692307693,2019-05-04
5,Any French Club,16.0,Alexis Sanchez,0.058823529411764705,2019-05-04
6,Any German Club,16.0,Alexis Sanchez,0.058823529411764705,2019-05-04
7,Leicester,20.0,Alexis Sanchez,0.047619047619047616,2019-05-04
8,Any MLS Club,20.0,Alexis Sanchez,0.047619047619047616,2019-05-04
9,Bournemouth,25.0,Alexis Sanchez,0.038461538461538464,2019-05-04
10,Watford,25.0,Alexis Sanchez,0.038461538461538464,2019-05-04
11,Southampton,25.0,Alexis Sanchez,0.038461538461538464,2019-05-04
12,Brighton,25.0,Alexis Sanchez,0.038461538461538464,2019-05-04
13,Newcastle,25.0,Alexis Sanchez,0.038461538461538464,2019-05-04
0,Betis,1.5,Alfredo Morelos,0.4,2019-05-04
1,Any German Club,6.0,Alfredo Morelos,0.14285714285714285,2019-05-04
2,Any Chinese Club,8.0,Alfredo Morelos,0.1111111111111111,2019-05-04
3,Any French Club,8.0,Alfredo Morelos,0.1111111111111111,2019-05-04
4,Fenerbahce,9.0,Alfredo Morelos,0.1,2019-05-04
5,Marseille,10.0,Alfredo Morelos,0.09090909090909091,2019-05-04
6,Celtic,10.0,Alfredo Morelos,0.09090909090909091,2019-05-04
7,Leicester,7.0,Alfredo Morelos,0.125,2019-05-04
8,Any Spanish Club,10.0,Alfredo Morelos,0.09090909090909091,2019-05-04
9,Any Chinese Super League side,10.0,Alfredo Morelos,0.09090909090909091,2019-05-04
10,Galatasaray,11.0,Alfredo Morelos,0.08333333333333333,2019-05-04
11,Borussia Dortmund,5.5,Alfredo Morelos,0.15384615384615385,2019-05-04
12,Any Italian Club,12.0,Alfredo Morelos,0.07692307692307693,2019-05-04
13,Lille,11.0,Alfredo Morelos,0.08333333333333333,2019-05-04
14,Monaco,14.0,Alfredo Morelos,0.06666666666666667,2019-05-04
15,Lyon,14.0,Alfredo Morelos,0.06666666666666667,2019-05-04
16,RB Leipzig,14.0,Alfredo Morelos,0.06666666666666667,2019-05-04
17,West Ham,16.0,Alfredo Morelos,0.058823529411764705,2019-05-04
18,Everton,11.0,Alfredo Morelos,0.08333333333333333,2019-05-04
19,Any South American Club,16.0,Alfredo Morelos,0.058823529411764705,2019-05-04
20,Bayer Leverkusen,16.0,Alfredo Morelos,0.058823529411764705,2019-05-04
21,Southampton,20.0,Alfredo Morelos,0.047619047619047616,2019-05-04
22,Brighton,25.0,Alfredo Morelos,0.038461538461538464,2019-05-04
23,Bournemouth,25.0,Alfredo Morelos,0.038461538461538464,2019-05-04
24,Crystal Palace,14.0,Alfredo Morelos,0.06666666666666667,2019-05-04
25,Newcastle,14.0,Alfredo Morelos,0.06666666666666667,2019-05-04
0,Barcelona,0.8,Antoine Griezmann,0.5555555555555556,2019-05-04
1,PSG,12.0,Antoine Griezmann,0.07692307692307693,2019-05-04
2,Bayern Munich,4.0,Antoine Griezmann,0.2,2019-05-04
3,Chelsea,12.0,Antoine Griezmann,0.07692307692307693,2019-05-04
4,Juventus,12.0,Antoine Griezmann,0.07692307692307693,2019-05-04
5,Man Utd,4.0,Antoine Griezmann,0.2,2019-05-04
6,Man City,16.0,Antoine Griezmann,0.058823529411764705,2019-05-04
7,Real Madrid,20.0,Antoine Griezmann,0.047619047619047616,2019-05-04
8,Inter Milan,10.0,Antoine Griezmann,0.09090909090909091,2019-05-04
0,Wolves,4.0,Asmir Begovic,0.2,2019-05-04
1,Stoke,6.0,Asmir Begovic,0.14285714285714285,2019-05-04
2,Any French Club,8.0,Asmir Begovic,0.1111111111111111,2019-05-04
3,Any German Club,8.0,Asmir Begovic,0.1111111111111111,2019-05-04
4,Any Italian Club,8.0,Asmir Begovic,0.1111111111111111,2019-05-04
5,Any Spanish Club,8.0,Asmir Begovic,0.1111111111111111,2019-05-04
6,Man City,12.0,Asmir Begovic,0.07692307692307693,2019-05-04
7,West Ham,16.0,Asmir Begovic,0.058823529411764705,2019-05-04
8,Newcastle,16.0,Asmir Begovic,0.058823529411764705,2019-05-04
9,Crystal Palace,16.0,Asmir Begovic,0.058823529411764705,2019-05-04
10,Watford,16.0,Asmir Begovic,0.058823529411764705,2019-05-04
0,Bayern Munich,3.0,Callum Hudson Odoi,0.25,2019-05-04
1,Borussia Dortmund,12.0,Callum Hudson Odoi,0.07692307692307693,2019-05-04
2,Any Italian Club,12.0,Callum Hudson Odoi,0.07692307692307693,2019-05-04
3,Any French Club,12.0,Callum Hudson Odoi,0.07692307692307693,2019-05-04
4,Any Spanish Club,12.0,Callum Hudson Odoi,0.07692307692307693,2019-05-04
5,Liverpool,10.0,Callum Hudson Odoi,0.09090909090909091,2019-05-04
6,Man Utd,14.0,Callum Hudson Odoi,0.06666666666666667,2019-05-04
7,Man City,16.0,Callum Hudson Odoi,0.058823529411764705,2019-05-04
8,Juventus,20.0,Callum Hudson Odoi,0.047619047619047616,2019-05-04
0,Arsenal,4.0,Cengiz Under,0.2,2019-05-04
1,Chelsea,4.0,Cengiz Under,0.2,2019-05-04
2,Tottenham,12.0,Cengiz Under,0.07692307692307693,2019-05-04
3,Liverpool,12.0,Cengiz Under,0.07692307692307693,2019-05-04
4,Man City,12.0,Cengiz Under,0.07692307692307693,2019-05-04
5,Man Utd,12.0,Cengiz Under,0.07692307692307693,2019-05-04
6,Any Chinese Club,14.0,Cengiz Under,0.06666666666666667,2019-05-04
7,Bayern Munich,14.0,Cengiz Under,0.06666666666666667,2019-05-04
8,Juventus,14.0,Cengiz Under,0.06666666666666667,2019-05-04
9,Barcelona,16.0,Cengiz Under,0.058823529411764705,2019-05-04
10,PSG,16.0,Cengiz Under,0.058823529411764705,2019-05-04
11,Real Madrid,16.0,Cengiz Under,0.058823529411764705,2019-05-04
12,Atletico Madrid,20.0,Cengiz Under,0.047619047619047616,2019-05-04
0,Southampton,1.25,Che Adams,0.4444444444444444,2019-05-04
1,Burnley,5.0,Che Adams,0.16666666666666666,2019-05-04
2,Crystal Palace,6.0,Che Adams,0.14285714285714285,2019-05-04
3,Wolves,8.0,Che Adams,0.1111111111111111,2019-05-04
4,Leicester,5.0,Che Adams,0.16666666666666666,2019-05-04
5,West Ham,8.0,Che Adams,0.1111111111111111,2019-05-04
6,Newcastle,10.0,Che Adams,0.09090909090909091,2019-05-04
7,Man Utd,10.0,Che Adams,0.09090909090909091,2019-05-04
8,Arsenal,10.0,Che Adams,0.09090909090909091,2019-05-04
9,Everton,8.0,Che Adams,0.1111111111111111,2019-05-04
10,Watford,12.0,Che Adams,0.07692307692307693,2019-05-04
11,Any Italian Club,16.0,Che Adams,0.058823529411764705,2019-05-04
12,Any Spanish Club,16.0,Che Adams,0.058823529411764705,2019-05-04
13,Any French Club,16.0,Che Adams,0.058823529411764705,2019-05-04
14,Any German Club,16.0,Che Adams,0.058823529411764705,2019-05-04
15,Tottenham,12.0,Che Adams,0.07692307692307693,2019-05-04
16,Chelsea,20.0,Che Adams,0.047619047619047616,2019-05-04
17,Man City,20.0,Che Adams,0.047619047619047616,2019-05-04
18,Liverpool,20.0,Che Adams,0.047619047619047616,2019-05-04
0,Any Spanish Club,2.0,Christian Eriksen,0.3333333333333333,2019-05-04
1,Chelsea,4.0,Christian Eriksen,0.2,2019-05-04
2,Man Utd,4.0,Christian Eriksen,0.2,2019-05-04
3,Any Italian Club,12.0,Christian Eriksen,0.07692307692307693,2019-05-04
4,Liverpool,12.0,Christian Eriksen,0.07692307692307693,2019-05-04
5,Any French Club,12.0,Christian Eriksen,0.07692307692307693,2019-05-04
6,Any German Club,12.0,Christian Eriksen,0.07692307692307693,2019-05-04
7,Man City,12.0,Christian Eriksen,0.07692307692307693,2019-05-04
0,Any English Club,4.0,Cristiano Ronaldo,0.2,2019-05-04
1,Any MLS Club,8.0,Cristiano Ronaldo,0.1111111111111111,2019-05-04
2,Any Chinese Club,8.0,Cristiano Ronaldo,0.1111111111111111,2019-05-04
3,Any French Club,12.0,Cristiano Ronaldo,0.07692307692307693,2019-05-04
4,Any German Club,14.0,Cristiano Ronaldo,0.06666666666666667,2019-05-04
5,Any Spanish Club,14.0,Cristiano Ronaldo,0.06666666666666667,2019-05-04
6,Any South American Club,16.0,Cristiano Ronaldo,0.058823529411764705,2019-05-04
0,Arsenal,3.0,Daniele Rugani,0.25,2019-05-04
1,Chelsea,6.0,Daniele Rugani,0.14285714285714285,2019-05-04
2,AC Milan,8.0,Daniele Rugani,0.1111111111111111,2019-05-04
3,Roma,8.0,Daniele Rugani,0.1111111111111111,2019-05-04
4,Bayern Munich,12.0,Daniele Rugani,0.07692307692307693,2019-05-04
5,Man City,12.0,Daniele Rugani,0.07692307692307693,2019-05-04
6,Man Utd,12.0,Daniele Rugani,0.07692307692307693,2019-05-04
